Fecha del mensaje,Nombre del remitente,Texto
2025-11-12 20:44:06,Vicente,Si no te quito tiempo y no te molesta puedes marcarme ?
2025-11-12 20:50:20,David,Cómo qué?
2025-11-12 20:52:35,David,El viernes lo voy a hacer con mi carro
2025-11-13 18:19:03,David,"No fui hoy, no llegue a tiempo"
2025-11-13 18:50:22,Vicente,Ok no te preocupes
2025-11-14 08:23:56,David,Cómo estás ?
2025-11-14 08:23:57,David,Buenos días
2025-11-14 08:24:17,Vicente,"Hola, bien. Buen día"
2025-11-14 08:24:33,David,"Hoy si me traje el carro al trabajo, para irme directo"
2025-11-14 08:27:04,David,Quieres que desde la escuela haga el seguimiento?
2025-11-14 08:27:10,David,O desde la alberca?
2025-11-14 08:27:46,Vicente,Desde la escuela
2025-11-14 08:27:51,Vicente,Y todo para donde jale
2025-11-14 08:28:01,Vicente,Si te es posible busca donde esperar
2025-11-14 08:28:17,David,Okay
2025-11-14 08:28:25,David,Así lo haré
2025-11-14 08:28:27,Vicente,Y si trata de tomar fotos por favor
2025-11-14 08:29:02,David,"Justo para eso traje el carro, para ir más pegado y tomar fotos"
2025-11-14 08:29:20,David,"Solo que si voy a necesitar un extra, porque es más gasto de gasolina"
2025-11-14 08:29:57,Vicente,Sin tema
2025-11-14 08:30:03,Vicente,Dame chance más tarde queda
2025-11-14 08:30:55,David,Puedo ir mandando las fotos al WhatsApp de tu compa}ero?
2025-11-14 09:12:42,Vicente,Sin tema
